ガスの燃焼に関する次の記述のうち、誤っているものはどれか。,ガスの燃焼は酸化反応であり、反応が最後まで完結しないで中間生成物(一酸化炭素、水素、アルデヒド等)が発生している状態を不完全燃焼という。,ブンゼンバーナーにおいて、ガス圧が異常に低下したり、ノズルが詰まったりしてガス量が極端に少なくなると、フラッシュバックが発生する。,機器の燃焼室内の給排気不良により二次空気が極端に減少すると、リフティングが発生する。,燃焼反応が十分な速さで進まないと、イエローチップが発生する。,メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度4%から75%である。,,,,,メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度4%から75%である。,"""メタンと空気の混合ガスの燃焼範囲は、標準状態においてメタン濃度5%から15%である。 
[都市ガス工業概要 (消費機器編) P9 1.10 燃焼範囲(爆発範囲)]"""
家庭用ガス温水機器に関する次の記述のうち、 誤っているものはどれか。,給湯器の自己診断機能には、給排気通路の閉そく状態を検知する方法として 燃焼状態により診断する方法と給気ファンの風量低下により診断する方法とがある。,潜熱回収型給湯器の中和器内では、炭酸カルシウムと排ガス凝縮水中の硝酸水との反応により、硝酸カルシウムが生成される。,先止め式瞬間湯沸器は、出湯側に給湯配管を接続し、複数箇所に給湯することができる。,現在販売されている開放式小型湯沸器には、不完全燃焼防止装置が複数回連続して作動したときに、通常の操作による再点火ができなくなるインターロック機能が搭載されている。,給湯器の出湯温度は、設定温度との差を補正するためのフィードフォワード制御によりばらつきが抑えられている。 ,,,,,給湯器の出湯温度は、設定温度との差を補正するためのフィードフォワード制御によりばらつきが抑えられている。 ,"""給湯器の出湯温度は、設定温度との差を補正するためのフィードバック制御によりばらつきが抑えられている。
[都市ガス工業概要(消費機器編) P81 3.2.3 温水機器の制御技術]"""
家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。,マイコンタイマー式炊飯器は、炊き分け機能、早炊き機能等を有し、自動的にガス量や燃焼時間をコントロールしながら炊き上げるものである。,FF暖房機では一般に、給気管は軟質塩化ビニール製、 排気管はステンレス鋼板製である。,「Siセンサーコンロ」の標準搭載機能は、調理油過熱防止装置、立ち消え安全装置、消し忘れ消火機能、早切れ防止機能である。,回転ドラム式衣類乾燥機は、空気で希釈された燃焼排ガスにより、ドラムの中の洗濯物を直接乾燥させるものである。,ファンヒーターには、不完全燃焼防止装置が搭載されているので、使用に際して換気をする必要はない。,,,,,ファンヒーターには、不完全燃焼防止装置が搭載されているので、使用に際して換気をする必要はない。,"""ファンヒーターには、不完全燃焼防止装置が搭載されているが、屋内の空気を燃焼に用いて屋内に排気を行うため使用に際して換気が必要である。 
[都市ガス工業概要 (消費機器編) P30 5.1 換気とは]"""
コージェネレーションシステム及びガス冷暖房機器に関する次の記述のうち、誤っているものはどれか。,固体酸化物形燃料電池(SOFC)の作動温度は、固体高分子形燃料電池(PEFC)の作動温度より高い。,家庭用燃料電池システム(エネファーム)には、停電時発電継続機能やIoT技術を活用した遠隔監視機能を搭載したものがある。,コージェネレーションシステムの運転方式は、電主熱従運転と熱主電従運転とに分類され、さらに電主熱従運転はピークカット運転とベースロード運転とに分類される。,吸収冷凍機の二重効用吸収冷凍サイクルでは、蒸発プロセスの効率向上のため、二つの蒸発器が用いられている。,ガスエンジンヒートポンプ(GHP)の冷房と暖房の切り替えは、室外機内の四方(切替)弁で冷媒の流れを変えることによって行う。,,,,,吸収冷凍機の二重効用吸収冷凍サイクルでは、蒸発プロセスの効率向上のため、二つの蒸発器が用いられている。,"""吸収冷凍機の二重効用吸収冷凍サイクルでは、蒸発プロセスの効率向上のため、二つの再生器が用いられている。
[都市ガス工業概要(消費機器編) P256 3.1.3 二重効用吸収冷凍サイクル]"""
換気及び一酸化炭素(CO)中毒に関する次の記述のうち、誤っているものはどれか。,機械換気における第3種換気とは、給気機と排気機を用いる方法で、室内の圧力を給気量と排気量の割合で調節できる。,従来の木造住宅では、1.5～3回/h程度の自然換気回数が見込まれたが、近年の高気密住宅では、自然換気回数は0.1回/h程度といわれている ,台所等の火気を使用する部屋の必要換気量は、レンジフードの形状等による定数と、理論排ガス量及び燃料消費量に基づき算出される。,CO中毒は、COが血液中のヘモグロビンと結合し、ヘモグロビンが酸素を運搬できなくなるために引き起こされる。,CO中毒の症状は、空気中のCO濃度と吸入時間によって変化する。,,,,,機械換気における第3種換気とは、給気機と排気機を用いる方法で、室内の圧力を給気量と排気量の割合で調節できる。,"""機械換気における第1種換気とは、給気機と排気機を用いる方法で、室内の圧力を給気量と排気量の割合で調節できる。
[都市ガス工業概要(消費機器編) P31 5.2.2 機械換気]"""
ガス機器の給排気方式に関する次の記述のうち、 誤っているものはどれか。,開放式機器は、燃焼用の空気を屋内から取り、燃焼排ガスをそのまま屋内へ排出する。,強制排気式(FE式)機器の排気筒トップは、風圧帯内に設置することができない。,自然給排気式(BF式)機器を設置した室には、専用の給気口、換気口は必要ない。,強制給排気式(FF式)機器は、給排気筒を延長できるため、機器本体が外壁に面している必要はない。,屋外式(RF式)機器は、建物外壁に設置されるだけでなく、集合住宅のパイプシャフトの扉部等にも設置される。,,,,,強制排気式(FE式)機器の排気筒トップは、風圧帯内に設置することができない。,"""強制排気式(FE式) 機器の排気筒トップは、風圧帯内に設置することができる。
[都市ガス工業概要(消費機器編) P54 2.3.2 強制排気式(FE式)]"""
ガス機器の安全装置及び制御装置に関する次の記述のうち、誤っているものはどれか。,空だき安全装置は、温水機器やふろがま内に水がない場合、バーナーのガス通路を開けず空だきにならないようにする安全装置である。,開放式小型湯沸器の不完全燃焼防止装置には、逆バイアス熱電対が用いられている。,自然排気式(CF式) ふろがまの不完全燃焼防止装置には、熱電対を用いるものとサーミスターを用いるものとがある。,比例電磁弁は、コイルに流れる電流による電磁力により弁を制御し、連続的にガス量を調節するものである。,浴槽や貯湯槽の水位を一定に保つための制御方式には、水位センサー式、水位スイッチ式及びボールタップ式がある。,,,,,空だき安全装置は、温水機器やふろがま内に水がない場合、バーナーのガス通路を開けず空だきにならないようにする安全装置である。,"""空だき防止装置は、温水機器やふろがま内に水がない場合、バーナーのガス通路を開けず空だきにならないようにする安全装置である。
[都市ガス工業概要(消費機器編) P154　4.1.6 空だき防止装置及び空だき安全装置]"""
警報器に関する次の記述のうち、誤っているものはどれか。,接触燃焼式ガス警報器では、検知回路の出力とガス濃度がほぼ比例関係にある。,熱線型半導体式ガス警報器では、検知回路の出力は濃度の薄いガスに対して比較的敏感で、濃度が上昇すると穏やかになる。,ガス警報器は、ガスの濃度が爆発下限界の1/10のときに確実に作動することがガス事業法の告示において規定されている。,CO警報器では、酸化スズ半導体センサーの感度低下を防止するため、間欠的に高温加熱するヒートクリーニングが必要である。,業務用換気警報器には、温度、湿度及び一酸化炭素以外のガス等の影響を受けにくい電気化学式センサーが用いられている。,,,,,ガス警報器は、ガスの濃度が爆発下限界の1/10のときに確実に作動することがガス事業法の告示において規定されている。,"""ガス警報器は、ガスの濃度が爆発下限界の1/4以上のときに確実に作動することがガス事業法の告示において規定されている。
［都市ガス工業概要(消費機器編) P196 6.1.3 ガス警報器の特徴］"""
燃焼時の諸現象及びガスとガス機器の適応に関する次の記述のうち、誤っているものはどれか。,可燃性混合ガスは、温度が一定であれば、圧力が上昇すると燃焼範囲は広くなる。,サーマルNOxの生成量は、燃焼ガス温度の高い、空気比1付近で最大となり、滞留時間が長いほど多く生成する。,"不完全燃焼の原因には、空気との接触や混合が不十分、排気の排出不良等がある。
",ブンゼン燃焼の炎口負荷には、一定の許容幅があり、炎口負荷の適正値は、燃焼速度の遅いガスでは大きく、速いガスでは小さくなる。,ガスの燃焼速度指数（MCP）が小さくなり、ガス機器の互換域を外れた場合、リフティングが発生する。,,,,,ブンゼン燃焼の炎口負荷には、一定の許容幅があり、炎口負荷の適正値は、燃焼速度の遅いガスでは大きく、速いガスでは小さくなる。,"""ブンゼン燃焼の炎口負荷には、一定の許容幅があり、炎口負荷の適正値は、燃焼速度の速いガスでは大きく、遅いガスでは小さくなる。
[都市ガス工業概要(消費機器編) P206 7.4.2 バーナー炎口負荷の調整]"""
"""赤火燃焼式に関する次の記述のうち、（イ）~（ハ）にあてはまる語句の組合せとして最も適切なものはどれか。

　　赤火燃燒式　　空気割合（一次空気）　0%　　空気割合（二次空気）　100%　
　　炎の色　（イ）　　炎の長さ　（ロ）　　炎の温度（°C）　（ハ）""",（イ）　赤　（ロ）　長い　（ハ）　約1300,（イ）　赤　（ロ）　短い　（ハ）　約1300,（イ）　赤黄　（ロ）　長い　（ハ）　約1300,（イ）　赤黄　（ロ）　短い　（ハ）　約900,（イ）　赤黄　（ロ）　長い　（ハ）　約900,,,,,（イ）　赤黄　（ロ）　長い　（ハ）　約900,
"家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。

*省エネ法とは、「エネルギーの使用の合理化等に関する法律」をいう。 ",ガスこんろの熱効率は、省エネ法*に基づくトップランナー基準の導入以降、炎の広がりを抑える、鍋底との距離を近づける等の改良により向上した。,ガスオーブンは、熱風をファンによって強制的に撹拌しているため、調理時間が早く、一度に多量の調理ができる。,FF暖房機には、立ち消え安全装置、点火時安全装置、転倒時安全装置等の安全装置が搭載されている。,ファンヒーターでは、設定温度とセンサーで検知した室温との温度差分を電気量に変換することで比例弁を駆動させ、ガス量に比例して対流ファン風量を制御する。,回転ドラム式衣類乾燥機には、接触した衣類の抵抗値を測定して、湿り具合を判断する乾燥センサーが搭載されている。,,,,,FF暖房機には、立ち消え安全装置、点火時安全装置、転倒時安全装置等の安全装置が搭載されている。,"""FF暖房機には、立ち消え安全装置、点火時安全装置、過熱防止装置、排気筒外れ検知装置等の安全装置が搭載されている。
［都市ガス工業概要(消費機器編) P120 3.4.2 FF暖房機]"""
家庭用ガス温水機器に関する次の記述のうち、誤っているものはどれか。,10号の瞬間湯沸器は、水温20℃の水を45℃へ上昇させたお湯を毎分10L出せる能力を有している。,自己診断機能には、給気ファンの回転数と電圧値を計測し、給排気通路の閉そく状態を診断する方法がある。,給湯負荷に応じて最適な燃焼になるように、ガス量と空気量を制御することを空燃比制御 という。,浴室暖房乾燥機の主要4機能とは、暖房、乾燥、涼風及び換気である。,ふろ給湯器の設置方式には、設置フリー形があり、ポンプの揚程により設置位置を選択できる。,,,,,自己診断機能には、給気ファンの回転数と電圧値を計測し、給排気通路の閉そく状態を診断する方法がある。,"""自己診断機能には、給気ファンの回転数と電流値を計測し、給排気通路の閉そく状態を診断する方法がある。
［都市ガス工業概要(消費機器編) P80　3.2.3 温水機器の制御技術]"""
業務用ガス機器、ガス冷暖房及びコージェネレーションシステムに関する次の記述のうち、誤っているものはどれか。,麺ゆで器の丸釜式には、ダウンドラフト方式により、省エネルギー性を高めたタイプがある。,ガススチームコンベクションオーブンのバーナーは、ブンゼン燃焼方式とパルス燃焼方式 のものがあり、蒸気発生部にはボイラー方式とインジェクション方式がある。,吸収冷凍機の吸収冷凍サイクルは、蒸発、吸収、再生及び凝縮の各工程からなり、蒸発工程で作られる冷水を用いて冷房する。,コージェネレーションシステムの電主熱従運転は、電力の負荷に合わせて発電し、廃熱はできるだけ利用し、もし余れば放熱する方法である。,家庭用固体酸化物形燃料電池（SOFC）の発電効率は、家庭用ガスエンジンコージェネレーションシステムの発電効率より高い。,,,,,ガススチームコンベクションオーブンのバーナーは、ブンゼン燃焼方式とパルス燃焼方式 のものがあり、蒸気発生部にはボイラー方式とインジェクション方式がある。,"""ガススチームコンベクションオーブンのバーナーは、ブンゼン燃焼方式とブラスト燃焼方式のものがあり、蒸気発生部にはボイラー方式とインジェクション方式がある。
［都市ガス工業概要(消費機器編) P220 8.2.4 オーブン]
〔都市ガス工業概要(消費機器編) P255 3.1.2 单効用吸収冷凍サイクル] """
換気及び給排気方式に関する次の記述のうち、 誤っているものはどれか。,機械換気の方法には、換気扇等のファンを、給気口に設置する第2種換気や、排気口に設置する第3種換気がある。,建築基準法により、火気を使用する台所等には、必ず法令で定められた換気設備を設けなければならない。,集合住宅において、パイプシャフトの扉部にはRF式機器が、パイプシャフト内部（壁面）にはFF式機器が設置される。,CF式機器の一次排気筒は、設置環境に応じて長さを調整する必要がある。,RF式機器の設置工事は、ガス消費機器設置工事監督者の監督下で施工する必要はない。,,,,,CF式機器の一次排気筒は、設置環境に応じて長さを調整する必要がある。,"""CF式機器の一次排気筒は、機器の一部であるため、短くしたり、曲げてはならない。
[都市ガス工業概要(消費機器編) P51　2.3.1 自然排気式 (CF式: Conventional Flue)]"""
ガス機器の制御装置及び安全装置に関する次の記述のうち、 誤っているものはどれか。,温水機器の空だき防止装置には、バイメタル式とサーミスター式がある。,温度制御に用いられるサーミスターは、金属の酸化物を2種類以上混合、焼結したもので、負の温度特性を持ちその値は等比的に変化する。,立ち消え安全装置には、熱起電力を利用して炎の検知を行う熱電対式と、炎の導電性と整流性を利用して炎の検知を行うフレームロッド式がある。,過熱防止装置として利用される温度ヒューズは、取り付け部分の雰囲気温度が異常に高くなった場合に回路を遮断し、再起動するには交換しなければならない。,ガス量を制御する方式には、段階的にガス量を制御する多段式と、連続的にガス量を制御する比例制御式がある。,,,,,温水機器の空だき防止装置には、バイメタル式とサーミスター式がある。,"""温水機器の空だき安全装置には、 バイメタル式とサーミスター式がある。
[都市ガス工業概要(消費機器編) P154　4.1.6 空だき防止装置及び空だき安全装置]"""
警報器に関する次の記述のうち、誤っているものはどれか。,ガス警報器は、 メタン濃度が0.2~0.5%程度で鳴り始めるよう調整されているものが多い。,電池式ガス警報器には、火災警報機能や不完全燃焼警報機能を搭載したものがある。,半導体式ガス警報器は、センサーに可燃性ガスが触れるとその表面に化学吸着して、半導体の電気伝導度が低下する性質を利用してガスを検知する。,業務用換気警報器に用いられる電気化学式センサーの構造及び原理は、ほぼ燃料電池と同様である。,"業務用換気警報器は、 ガス機器から水平距離は50cm以上8m以内で、 ガス機器が設置してある部屋と同一の室内に設置しなければならない。
",,,,,ゴム管用ソケットは、ガスソフトコードに取り付けて使用し、コンセントロのガス栓又はガス栓用プラグと接続する迅速継手である。,"""半導体式ガス警報器は、センサーに可燃性ガスが触れるとその表面に化学吸着して、半導体の電気伝導度が上昇する性質を利用してガスを検知する。
[都市ガス工業概要(消費機器編) P194 6.1.2 ガス警報器の原理]"""
ガス機器とガス栓との接続に関する次の記述のうち、誤っているものはどれか。,常設形ガス機器のガス栓は、ガスコンセントやオンオフヒューズガス栓を用いる。,常設形業務用厨房機器とガス栓との接続には、金属可とう管が使用されている。,ゴム管用ソケットは、ガスソフトコードに取り付けて使用し、コンセントロのガス栓又はガス栓用プラグと接続する迅速継手である。,ガスコンセントでは、迅速継手が不完全に接続された場合でも、ガスは流れず漏れない。,ガスコードは、鋼線で補強されたゴム製ホースの両端に迅速継手がついた定尺の接続具で、ガスコンセントとファンヒーター等との接続に用いられる。,,,,,常設形ガス機器のガス栓は、ガスコンセントやオンオフヒューズガス栓を用いる。,"""移動設置形ガス機器のガス栓は、 ガスコンセントやオンオフヒューズガス栓を用いる。
［都市ガス工業概要(消費機器編) P 186　5.1 ガス栓・接続具に関する基本的考え方]"""
"""ガスの性質及び燃焼に関する次の記述のうち、誤っているものはどれか。""
","""熱効率は、下記の式で求められる。""

[img:/static/images/R5og19.jpg]
","ガスの燃焼は、酸化反応で発生した熱量より放散する熱量の方が小さい場合に継続する。
","触媒燃焼式には、触媒マットを用いて全二次空気燃焼式により無炎燃焼し、赤外線暖房機器に用いられるものがある。
","赤火燃焼式は、「逆火することがまったくない」、「ガス圧の低い所でも使用できる」、「赤黄色の長炎が得られる」等の特徴がある。
",濃淡燃焼バーナーでは、保炎性の低い予混合希薄火炎をブンゼン火炎にて保炎し、低NOX化と保炎性を両立している。,,,,,"熱効率は、下記の式で求められる。
画像
",[img:/static/explain/or5/r5og19.jpg]
"""燃焼時の諸現象及びガスグループに関する次の記述のうち、誤っているものはどれか。""
","ブンゼンバーナーの燃焼は、良好な状態からガス量を増加させると、不完全燃焼に至る場合がある。
","フラッシュバックは、 バーナー部分が高温になり、 そこを通るガスの温度が上昇すると発生する場合がある。
","リフティングは、混合気体の燃焼速度に比べ、噴出速度が速くなると発生する場合がある。
","ガスグループの分類における13Aと12Aは、熱量は異なるが、ウォッベ指数(WI)と燃焼速度指数(MCP)の領域は同じである。
",ガス機器に与えられるインプットは、ガス圧力が一定ならばWIに比例する。,,,,,"ガスグループの分類における13Aと12Aは、熱量は異なるが、ウォッベ指数(WI)と燃焼速度指数(MCP)の領域は同じである。
",[img:/static/explain/or5/r5og20.jpg]
"""家庭用ガス温水機器に関する次の記述のうち、誤っているものはどれか。""
","給湯器の自己診断機能では、給排気通路の閉そく状態によって、燃焼改善、能力制限又は運転停止の安全動作を行う。
","多段式バーナーでは、燃焼本数が少ないほど、熱効率が低くなる傾向がある。
","現在販売されている2缶3水の給湯暖房用熱源機のふろの追いだきは、間接加熱方式で行われる。
","瞬間湯沸器には元止め式と先止め式の二種類があり、小型湯沸器はすべて元止め式である。
",BF式ふろがまでは、給排気バランスが崩れると不完全燃焼や立ち消えが発生するおそれがあるため、給排気筒トップの周囲に障害物があってはならない。,,,,,"瞬間湯沸器には元止め式と先止め式の二種類があり、小型湯沸器はすべて元止め式である。
",[img:/static/explain/or5/r5og21.jpg]
"""家庭用ガス機器に関する次の記述のうち、誤っているものはどれか。""
","現在、ガス用品に指定されている品目は、ガス瞬間湯沸器、ガスストーブ、ガスバーナー付ふろがま、ガスふろバーナー、ガスこんろであり、それぞれ対象となるガス消費量が定められている。
","ファンヒーターやFF暖房機には、温風を室内に対流させる対流ファンと燃焼に必要な空気を取り入れる燃焼ファンが搭載されている。
","ファンヒーターには過熱検知用のサーミスターが装備されており、フィルター等の詰まりにより機体が過熱状態になると、フィルターサインが点滅する。
","現在販売されているこんろのグリル部には、グリル火災低減のために消し忘れ消火機能に加えて、過熱防止機能又は炎あふれ防止機能のいずれか1つ以上の機能が搭載されている。
",ガス衣類乾燥機には、乾燥運転終了後に油の付着したタオルや衣類が自然発火しないように、衣類の温度を下げる運転を行う機能が搭載されている。,,,,,"ファンヒーターやFF暖房機には、温風を室内に対流させる対流ファンと燃焼に必要な空気を取り入れる燃焼ファンが搭載されている。
",[img:/static/explain/or5/r5og22.jpg]
"""家庭用コージェネレーションシステム(CGS)、ガス冷暖房及び業務用ガス機器に関する次の記述のうち、誤っているものはどれか。""
","燃料電池CGSには、都市ガスの付臭剤として添加されている硫黄分を取り除く脱硫装置が搭載されている。
","ガスエンジンヒートポンプ(GHP)の暖房能力は、電気ヒートポンプ(EHP)と比較して外気温低下による能力の低下があまりないという特長がある。
","浸管式フライヤーは、油槽内の熱交換器の伝熱面積を比較的大きくとれるため、昇温が速い特長があるが、浸管内でパルス燃焼を採用しているタイプは、さらに昇温性能が向上している。
","排気ダクト接続型給湯器では、排気温度センサーの搭載や潜熱回収技術の採用により、ダクト火災防止を図っている。
",簡易貫流ボイラーでは、複数台連結することにより大量の蒸気を発生させるシステムを構成した場合、取扱資格が必要となる。,,,,,簡易貫流ボイラーでは、複数台連結することにより大量の蒸気を発生させるシステムを構成した場合、取扱資格が必要となる。,[img:/static/explain/or5/r5og23.jpg]
"""一酸化炭素(CO)及び換気に関する次の記述のうち、誤っているものはどれか。""
","COは、無色、無臭の気体であるため、空気中に拡散した場合でも気づきにくい。
","換気量の不足による燃焼時の空気中の酸素欠乏が、COを発生させる原因の一つである。
","換気を行うためには、空気の排出口及び流入口があり、空気の流れを起こす力があることが必要条件である。
","換気扇に使用されるプロペラファンは、シロッコファンよりも風量は多いが、ダクト等の抵抗を受けると極度に風量が減少する。
",ガス機器を使用する部屋には、必ず機械換気設備を設けなければならない。,,,,,ガス機器を使用する部屋には、必ず機械換気設備を設けなければならない。,[img:/static/explain/or5/r5og24.jpg]
