問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解,解説
"""ガス機器の分類について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

「ガスふろがま、ガス瞬間湯沸器、ふろ給湯器」：（　　　）機器""",商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,温水,テスト
"""ガス機器の分類について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

家庭用ガスコージェネレーションシステム：「ガスエンジンコージェネレーションシステム（エコウィル）
家庭用燃料電池（　　　）」""",商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,エネファーム,テスト
"""ガス機器の分類について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

	「中華レンジ、茹でめん機、オーブン、フライヤー」：（　　　）機器""",商業用,調理用,業務用,使用用途,温水,給排気方式,暖房用,エネファーム,エコジョーズ,業務用,テスト
"""接続具について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

強化ガスホースは、主として（　　　）ガス機器のうち、設置状況に合わせた現場施工が可能であることから、小型湯沸器等に用いられる。また可とう性もあることから、動く可能性のあるガス機器に用いられる。""",可とう管型,ホースエンド型,ねじ接合,３００ｍｍ,常設型,１５０ｍｍ,防熱カバー,外れ,コンセント式,常設型,テスト
"""接続具について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

小型湯沸器のコンロ直上設置の際、防熱カバーを使用することとなっているが、小型湯沸器との接続で強化ｶﾞｽホースを使用する場合はコンロから（　　　）以上の離隔が必要である。""",可とう管型,ホースエンド型,ねじ接合,３００ｍｍ,常設型,１５０ｍｍ,防熱カバー,外れ,コンセント式,１５０ｍｍ,テスト
"""接続具について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

小型湯沸器のコンロ直上設置の際（　　　）を使用することとなっているが、小型湯沸器との接続で強化ｶﾞｽホースを使用する場合はコンロから１５１ｍｍ以上の離隔が必要である。""",可とう管型,ホースエンド型,ねじ接合,３００ｍｍ,常設型,１５０ｍｍ,防熱カバー,外れ,コンセント式,防熱カバー,テスト
"""接続具について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスコードの接続両端は（　　　）で、接続部の外れがなく、取付け取外しが容易である。""",可とう管型,ホースエンド型,ねじ接合,３００ｍｍ,常設型,１５０ｍｍ,防熱カバー,外れ,コンセント式,コンセント式,テスト
"""接続具について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスコードの接続両端はコンセント式で、接続部の（　　　）がなく、取付け取外しが容易である。""",可とう管型,ホースエンド型,ねじ接合,３００ｍｍ,常設型,１５０ｍｍ,防熱カバー,外れ,コンセント式,外れ,テスト
"""接続具について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

金属可とう管両端部の接続方法は、（　　　）である。""",可とう管型,ホースエンド型,ねじ接合,３００ｍｍ,常設型,１５０ｍｍ,防熱カバー,外れ,コンセント式,ねじ接合,テスト
"""接続具について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ソフトコードは、（　　　）のガス栓とガス機器の接続に用いる。""",可とう管型,ホースエンド型,ねじ接合,３００ｍｍ,常設型,１５０ｍｍ,防熱カバー,外れ,コンセント式,ホースエンド型,テスト
"""給排気方式について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

開放式ガス機器は、燃焼用の空気を室内から取り、（　　　）をそのまま室内に排出する方式である。""",換気能力,燃焼排ガス,12,ＣＦ,ＦＥ,ＢＦ,ＦＦ,14,排気筒,燃焼排ガス,テスト
"""給排気方式について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

開放式ガス機器の例として、ガス消費量が（　　　）ｋＷ以下の瞬間小型湯沸器、ガス消費量が７ｋＷ以下のストーブ等があげられる。""",換気能力,燃焼排ガス,12,ＣＦ,ＦＥ,ＢＦ,ＦＦ,14,排気筒,12,テスト
"""給排気方式について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

半密閉式ガス機器は、燃焼用の空気を室内から取り、燃焼排ガスを（　　　）で屋外に排出する方式である。""",換気能力,燃焼排ガス,12,ＣＦ,ＦＥ,ＢＦ,ＦＦ,14,排気筒,排気筒,テスト
"""給排気方式について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

半密閉式ガス機器には、自然ドラフトによる自然排気式（CF)式と、排気ファンによる強制排気式（　　　）式とがある。""",換気能力,燃焼排ガス,12,ＣＦ,ＦＥ,ＢＦ,ＦＦ,14,排気筒,ＦＥ,テスト
"""給排気方式について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

半密閉式ガス機器には、自然ドラフトによる自然排気式（　　　）式と、排気ファンによる強制排気式（FE)式とがある。""",換気能力,燃焼排ガス,12,ＣＦ,ＦＥ,ＢＦ,ＦＦ,14,排気筒,ＣＦ,テスト
"""給排気方式について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

密閉式ガス機器は、燃焼用の空気を屋外から取り、燃焼排ガスも屋外に排出する方式である。密閉式ガス機器には、給排気を自然通気力により行う自然給排気式（　　　）式とファンにより強制的に給排気を行う強制給排気式（FF）式とがある。""",換気能力,燃焼排ガス,12,ＣＦ,ＦＥ,ＢＦ,ＦＦ,14,排気筒,ＢＦ,テスト
"""給排気方式について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

 密閉式ガス機器は、燃焼用の空気を屋外から取り、燃焼排ガスも屋外に排出する方式である。密閉式ガス機器には、給排気を自然通気力により行う自然給排気式（BF)式とファンにより強制的に給排気を行う強制給排気式（　　　）式とがある。""",換気能力,燃焼排ガス,12,ＣＦ,ＦＥ,ＢＦ,ＦＦ,14,排気筒,ＦＦ,テスト
"""ガスメーターについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスメーターとは、ガス量を計測する（　　　）をいう。”",計量法,ガス事業法,16m³以下,16m³超,計量器,資産,取引き,自動的に遮断,使用最大流量　,計量器,テスト
"""ガスメーターについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスメーターは、お客さまとの（　　　）に使用されるものは、ガス事業者の資産である。""",計量法,ガス事業法,16m³以下,16m³超,計量器,資産,取引き,自動的に遮断,使用最大流量　,取引き,テスト
"""ガスメーターについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスメーターは、お客さまとの取引に使用されるものは、ガス事業者の（　　　）である。""",計量法,ガス事業法,16m³以下,16m³超,計量器,資産,取引き,自動的に遮断,使用最大流量　,資産,テスト
"""ガスメーターについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

計量法では、ガスメーターの能力は（　　　）「m³/h」で表し、「Qmax○」で表示する。""",計量法,ガス事業法,16m³以下,16m³超,計量器,資産,取引き,自動的に遮断,使用最大流量　,使用最大流量　,テスト
"""ガスメーターについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

マイコンメーターとは、一度に大量のガスがメーターを通過したときや、異常に長時間ガスが使用された場合等に、メーターに内蔵されたマイコンが異常を検知してガスを（　　　）する機能を内蔵したガスメーターをいう。""",計量法,ガス事業法,16m³以下,16m³超,計量器,資産,取引き,自動的に遮断,使用最大流量　,自動的に遮断,テスト
"""ガスメーターについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

使用最大流量が毎時（　　　）のガスメーターは、マイコンメーターとすることがガス事業法で義務付けられている。""",計量法,ガス事業法,16m³以下,16m³超,計量器,資産,取引き,自動的に遮断,使用最大流量　,16m³以下,テスト
"""ガスメーターについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

使用最大流量が毎時１６㎥以下のガスメーターは、マイコンメーターとすることが（　　　）で義務付けられている。""",計量法,ガス事業法,16m³以下,16m³超,計量器,資産,取引き,自動的に遮断,使用最大流量　,ガス事業法,テスト
"""建物区分について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス事業法では、安全対策をより合理的にするために、お客さまの建物を（　　　）に区分し、適切な対策を行うことになっている。""",9,11,安全設備,用途,換算合計Qmax,警報設備,自動ガス遮断装置,消火設備,建物構造,11,テスト
"""建物区分について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス事業法では、建物区分ごとに必要な（　　　）が定められている。""",9,11,安全設備,用途,換算合計Qmax,警報設備,自動ガス遮断装置,消火設備,建物構造,安全設備,テスト
"""建物区分について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

建物区分は次の3つの設定要素により区分されている。
ⅰ（　　　）（高さ・地下）
ⅱ　用途（ガスの使用用途）
ⅲ　ガスメーターの換算合計Qmax""",9,11,安全設備,用途,換算合計Qmax,警報設備,自動ガス遮断装置,消火設備,建物構造,建物構造,テスト
"""建物区分について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

建物区分は次の3つの設定要素により区分されている。
ⅰ　建物構造（高さ・地下）
ⅱ（　　　）（ガスの使用用途）
ⅲ　ガスメーターの換算合計Qmax""",9,11,安全設備,用途,換算合計Qmax,警報設備,自動ガス遮断装置,消火設備,建物構造,用途,テスト
"""建物区分について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

建物区分は次の3つの設定要素により区分されている。
ⅰ　建物構造（高さ・地下）
ⅱ　用途（ガスの使用用途）
ⅲ　ガスメーターの（　　　）""",9,11,安全設備,用途,換算合計Qmax,警報設備,自動ガス遮断装置,消火設備,建物構造,換算合計Qmax,テスト
"""建物区分について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

特定地下街等・特定地下室等はガス漏れ（　　　）を設置する。""",9,11,安全設備,用途,換算合計Qmax,警報設備,自動ガス遮断装置,消火設備,建物構造,警報設備,テスト
"""建物区分について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

超高層建物と特定大規模建物はガス警報器又は（　　　）のいずれかを設置する。ただし、超高層建物であって住宅の場合は、調理室に限る。また、特定大規模建物の場合は、特定業務用途に限る。""",9,11,安全設備,用途,換算合計Qmax,警報設備,自動ガス遮断装置,消火設備,建物構造,自動ガス遮断装置,テスト
"""警報器について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス機器が不完全燃焼している場合や給排気設備が不備な場合に、排気ガスによる一酸化炭素（　　　）を防止するための警報装置として、CO警報器と業務用換気警報器がある。""",両機能,どちらか一方の機能,中毒事故,火災事故,ＣＯ,火災検知,業務用換気,赤外線,熱,中毒事故,テスト
"""警報器について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス機器が不完全燃焼している場合や給排気設備が不備な場合に、排気ガスによる一酸化炭素中毒事故を防止するための警報装置として、（　　　）警報器と業務用換気警報器がある。""",両機能,どちらか一方の機能,中毒事故,火災事故,ＣＯ,火災検知,業務用換気,赤外線,熱,ＣＯ,テスト
"""警報器について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス機器が不完全燃焼している場合や給排気設備が不備な場合に、排気ガスによる一酸化炭素中毒事故を防止するための警報装置として、CO警報器と（　　　）警報器がある。""",両機能,どちらか一方の機能,中毒事故,火災事故,ＣＯ,火災検知,業務用換気,赤外線,熱,業務用換気,テスト
"""警報器について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

空気より軽いガス用の場合は、ＣＯ検出と都市ガス（空気より軽いガスに限る）検出の（　　　）を有したものもある。""",両機能,どちらか一方の機能,中毒事故,火災事故,ＣＯ,火災検知,業務用換気,赤外線,熱,両機能,テスト
"""警報器について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

複合型のガス警報器には、（　　　）警報機能を有しているものがあり、火災による熱を検知するものと、煙を検知するものがある。""",両機能,どちらか一方の機能,中毒事故,火災事故,ＣＯ,火災検知,業務用換気,赤外線,熱,火災検知,テスト
"""警報器について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

複合型のガス警報器には、火災検知警報機能を有しているものがあり、火災による（　　　）を検知するものと、煙を検知するものがある。""",両機能,どちらか一方の機能,中毒事故,火災事故,ＣＯ,火災検知,業務用換気,赤外線,熱,熱,テスト
"""消費機器調査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

消費機器調査は、ガス事業法第１５９条第３項の規定に基づき、ガス機器の（　　　）調査及び特定地下街等、特定地下室等の接続具やガス漏れ警報設備の調査を行うことが定められている。""",警報設備,通知,立ち消え,経過,給排気設備,勧告,不完全燃焼,結果,燃焼状況,給排気設備,テスト
"""消費機器調査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

消費機器調査は、ガス事業法第１５９条第２項の規定に基づき、ガス機器の吸排気設備調査及び特定地下街等、特定地下室等の接続具やガス漏れ（　　　）の調査を行うことが定められている。”",警報設備,通知,立ち消え,経過,給排気設備,勧告,不完全燃焼,結果,燃焼状況,警報設備,テスト
"""消費機器調査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

技術上の基準に適合していない設備の所有者又は占有者に対して（　　　）を行う。""",警報設備,通知,立ち消え,経過,給排気設備,勧告,不完全燃焼,結果,燃焼状況,通知,テスト
"""消費機器調査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

調査の対象となっている（　　　）防止機能を有しない機器について、安全型機器を紹介する。""",警報設備,通知,立ち消え,経過,給排気設備,勧告,不完全燃焼,結果,燃焼状況,不完全燃焼,テスト
"""消費機器調査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガス事業者は確認できる範囲内で幅広く調査を行い、技術基準に適合しない機器の修理又は使用を中止する等の措置及びその措置をとらなかったときに生ずべき（　　　）をお客さまに通知することで、ガス又は排ガスによる事故を未然に防止することを目的とする。""",警報設備,通知,立ち消え,経過,給排気設備,勧告,不完全燃焼,結果,燃焼状況,結果,テスト
"""消費機器調査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

消費機器調査は、ガスの使用申し込み時および４年に1回以上行い、（　　　）は、設備の改善要請と安全使用周知日から1ヶ月を越えた日以降、5ヶ月以内に行う。ただし通知の日から１ヶ月以内に改善されたことを知った場合は１ヶ月以内に実施可能""",再調査,改善折衝,１回,３回,予備調査,２回,,,,再調査,テスト
"""消費機器調査の目的について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

技術基準不適合の場合、毎年度（　　　）以上、通知を行う。""",再調査,改善折衝,１回,３回,予備調査,２回,,,,１回,テスト
"""消費機器調査の方法及び基準について、次の文章およびフロー図の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

消費機器調査の対象機器は、・ガスふろがま　・ガス瞬間湯沸器　・ガス貯湯湯沸器　・ガス常圧貯蔵湯沸器のうち、（　　　）されている場合、及び屋外に設置されていても、その排気筒又は給排気部が屋内に設置されている場合は、給排気設備の調査も行う。""
",危険な設置,不完全燃焼,密閉燃焼式,表示,屋内に設置,空焚き,半密閉燃焼式,遮断,認証,屋内に設置,テスト
"""消費機器調査の方法及び基準について、次の文章およびフロー図の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

・ガスふろがま　・ガス瞬間湯沸器　・ガス貯湯湯沸器　・ガス常圧貯蔵湯沸器では、（　　　）防止機能の付いているものは、消費機器調査の省略が可能である。
具体的には以下に該当するものが、消費機器調査の省略が可能である。
・不完全燃焼する状態に至った場合に当該消費機器へのガスの供給を自動的に遮断し燃焼を停止する機能を有すると認められるもの。""",危険な設置,不完全燃焼,密閉燃焼式,表示,屋内に設置,空焚き,半密閉燃焼式,遮断,認証,不完全燃焼,テスト
"""消費機器調査の方法及び基準について、次の文章およびフロー図の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

・ガスふろがま　・ガス瞬間湯沸器　・ガス貯湯湯沸器　・ガス常圧貯蔵湯沸器では、（　　　）の機器であって特監法に基づき設置されたものは消費機器調査の省略が可能である。
具体的には以下に該当するものが、消費機器調査の省略が可能である。
・不完全燃焼する状態に至った場合に当該消費機器へのガスの供給を自動的に遮断し燃焼を停止する機能を有すると認められるもの。""",危険な設置,不完全燃焼,密閉燃焼式,表示,屋内に設置,空焚き,半密閉燃焼式,遮断,認証,密閉燃焼式,テスト
"""消費機器調査の方法及び基準について、次の文章およびフロー図の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

不完全燃焼防止機能の付いているもので、以下に該当するものは消費機器調査の省略が可能である。
・不完全燃焼する状態に至った場合に当該消費機器へのガスの供給を自動的に（　　　）し燃焼を停止する機能を有すると認められるもの。""",危険な設置,不完全燃焼,密閉燃焼式,表示,屋内に設置,空焚き,半密閉燃焼式,遮断,認証,遮断,テスト
"""消費機器調査の作業項目及び作業内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

ガスふろがま、ガス湯沸器の給排気設備調査において、屋内設置の不完全燃焼防止機能なし開放式小型瞬間湯沸器の（　　　）濃度を測定する。""",特定,Ｏ2,排気筒,給気,ＣＯ,特殊,停電時,換気,開栓時,ＣＯ,テスト
"""消費機器調査の作業項目及び作業内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

強制排気式のガス瞬間湯沸器のうち（　　　）の燃焼器又は後付排気扇ＣＦ式湯沸器等があった場合は通電時検査検査を実施する。""",特定,Ｏ2,排気筒,給気,ＣＯ,特殊,停電時,換気,開栓時,特定,テスト
"""消費機器調査の作業項目及び作業内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

強制排気式のガス瞬間湯沸器のうち特定の燃焼器又は後付排気扇ＣＦ式湯沸器等があった場合は（　　　）検査を実施する。""",特定,Ｏ2,排気筒,給気,ＣＯ,特殊,停電時,換気,開栓時,停電時,テスト
"""消費機器調査の作業項目及び作業内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

強制排気式のガス瞬間湯沸器のうち特定の燃焼器又は後付排気扇ＣＦ式湯沸器等があった場合（　　　）先端のホコリ詰まりの確認を実施する。""",特定,Ｏ2,排気筒,給気,ＣＯ,特殊,停電時,換気,開栓時,排気筒,テスト
"""消費機器調査の作業項目及び作業内容について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

業務用厨房を有する場合は、業務用需要家用（　　　）ステッカーが貼付されていることを確認する。""",特定,Ｏ2,排気筒,給気,ＣＯ,特殊,停電時,換気,開栓時,換気,テスト
"""消費機器調査のポイントについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

開放式小型瞬間湯沸器の給排気方式が「窓」の場合、窓の位置が床面から天井面の高さの（　　　）より高い所にあることを確認する。""",３分の１,スモークテスト,給気部,２分の１,内規,圧力テスト,排気部,告示,ガス漏れ検査,２分の１,テスト
"""消費機器調査のポイントについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

開放式小型瞬間湯沸器の給排気方式が「換気扇」の場合、換気扇の上部がガス湯沸器の（　　　）の最上部より高い位置にあることを確認する。""",３分の１,スモークテスト,給気部,２分の１,内規,圧力テスト,排気部,告示,ガス漏れ検査,排気部,テスト
"""消費機器調査のポイントについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

強制排気式の（　　　）で定める特定の燃焼器は点検要領により、正常に排気が排出されるか調査する。""",３分の１,スモークテスト,給気部,２分の１,内規,圧力テスト,排気部,告示,ガス漏れ検査,告示,テスト
"""消費機器調査のポイントについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

半密閉式機器で給排気方式が排気フード方式の場合、排気フードとガス湯沸器の位置関係を目視にて確認し、必要に応じて（　　　）を行い燃焼排ガスの吸い込みを確認する。""",３分の１,スモークテスト,給気部,２分の１,内規,圧力テスト,排気部,告示,ガス漏れ検査,スモークテスト,テスト
"""消費機器調査のポイントについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

給排気方式が換気扇方式の場合、換気扇の羽根径は直径を測定、または（　　　）にて確認する。""",１８ｍｍ,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,１６ｍｍ,日本ガス機器検査協会,隙間,銘板の表示,テスト
"""消費機器調査のポイントについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

半密閉式機器で自然排気方式の場合、排気筒先端は（　　　）球が入らないような防鳥構造になっているか確認する。""",１８ｍｍ,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,１６ｍｍ,日本ガス機器検査協会,隙間,１６ｍｍ,テスト
"""消費機器調査のポイントについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

給気口に木製ガラリが設けられている場合、給気口の見かけ上の面積×（　　　）で有効面積を算出する。",１８ｍｍ,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,１６ｍｍ,日本ガス機器検査協会,隙間,0.4,テスト
"""消費機器調査のポイントについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

給排気部の外壁貫通箇所には、燃焼排ガスが屋内に流入する（　　　）がないことを確認する。""",１８ｍｍ,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,１６ｍｍ,日本ガス機器検査協会,隙間,隙間,テスト
"""消費機器調査のポイントについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

技術基準みなし適合の当該機器の点検は、（　　　）の合格証が貼付されていることを目視により確認すること。""",１８ｍｍ,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,１６ｍｍ,日本ガス機器検査協会,隙間,日本ガス機器検査協会,テスト
"""消費機器調査のポイントについて、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

技術基準みなし適合の当該機器の点検は、雰囲気検知式の（　　　）防止機能付の機器であることを目視により確認すること。""",１８ｍｍ,0.3,日本ガス協会,不完全燃焼,0.4,銘板の表示,１６ｍｍ,日本ガス機器検査協会,隙間,不完全燃焼,テスト
"""消費機器調査の不在時・拒否のお客さまの処理について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

調査・点検時にガスの使用者が不在の場合には、次の調査希望日についてのガス事業者への（　　　）を投入する等の措置を講ずる。""",ガス事業法,作業方法,２回,不在連絡票,連絡方法,無断,３回,記録,点検表,連絡方法,テスト
"""消費機器調査の不在時・拒否のお客さまの処理について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

調査・点検時にガスの使用者が不在の場合には、次の調査予定日が告知されている（　　　）を投入する等の措置を講ずる。""",ガス事業法,作業方法,２回,不在連絡票,連絡方法,無断,３回,記録,点検表,不在連絡票,テスト
"""消費機器調査の不在時・拒否のお客さまの処理について、次の文章の空欄にあてはまる最も適切な語句を解答群から選択して答えなさい。

調査における不在のお客さま対しては、各社で定める要領に基づき（　　　）以上の訪問を行う。""",ガス事業法,作業方法,２回,不在連絡票,連絡方法,無断,３回,記録,点検表,３回,テスト
